name,clf_predicted_religion,clf_max_prob,prob_Hindu,prob_Muslim,prob_Sikh,prob_Christian,prob_Jain,prob_Buddhist,clf_predicted_religion_corrected,clf_max_prob_corrected
geetha,Christian,0.7873172195483326,0.1978730978932415,0.0088626435827066,0.0059209602239553,0.7873172195483326,2.960035959938892e-06,2.311871580410365e-05,Christian,0.7837540911361506
geethaa,Christian,0.9372881392263362,0.0565953392182877,0.0041915624068701,0.0019107852188337,0.9372881392263362,1.6240617719243393e-06,1.254986790028773e-05,Christian,0.935135238018817
geethaabaaee,Christian,0.8669947366151356,0.0780317902512601,0.0517443513619147,0.003166555392999,0.8669947366151356,3.36549322315534e-06,5.920088546733513e-05,Christian,0.8390905228857621
geethaadevee,Christian,0.7445377226088183,0.2522107786154322,0.001291016490959,0.0013844145867096,0.7445377226088183,2.083972104274394e-06,0.0005739837259766,Christian,0.7428359189551876
geethaanjjali,Christian,0.8463654967306687,0.1199883677282942,0.0316961084178114,0.0019246755899335,0.8463654967306687,3.1512253388761427e-06,2.2200307953258062e-05,Christian,0.8290989732484733
gendalal,Hindu,0.9265657019035468,0.9265657019035468,0.0599655783337417,0.0017591262320908,0.0116536194934687,2.810242345132717e-05,2.7871613700379484e-05,Hindu,0.8925906740002315
george,Christian,0.999925027658548,7.289456080084265e-05,1.446542878782545e-06,6.057440975253875e-07,0.999925027658548,1.752207914791792e-09,2.3741466762111204e-08,Christian,0.999923855516133
ghaadage,Hindu,0.9426122353157572,0.9426122353157572,0.014566316343793,0.003119079041046,0.0396300521937339,1.834031261537442e-05,5.3976793054273496e-05,Hindu,0.9352458041434878
ghadge,Hindu,0.9498184607298278,0.9498184607298278,0.0258534624511813,0.0111790019558545,0.0129999351043435,1.2886034958117198e-05,0.0001362537238346,Hindu,0.9386520133839441
ghadi,Hindu,0.9961907166097638,0.9961907166097638,0.0024597332934493,0.0011542465534359,0.000180434444429,3.665972141549506e-06,1.1203126780332026e-05,Hindu,0.9950975883887958
ghanasyaam,Hindu,0.8532461927649359,0.8532461927649359,0.0069164842562533,0.0012633744909776,0.1385336981280403,1.0477973629221925e-05,2.9772386163487416e-05,Hindu,0.8506237710012542
ghanshyam,Hindu,0.9956317266958484,0.9956317266958484,0.000765623900653,0.0026591516230611,0.0009387056543394,1.1938126404013793e-06,3.5983134577270384e-06,Hindu,0.9962986644894137
gharami,Hindu,0.995609075803996,0.995609075803996,0.0014035894701993,0.0022685549032296,0.0003415700795987,4.667958569722173e-05,0.0003305301572788,Hindu,0.9954272842512615
gharat,Hindu,0.9983931825762488,0.9983931825762488,0.0002709210171574,0.0009948454489405,0.0002470021001684,1.2274906024332464e-05,8.177395146044298e-05,Hindu,0.9985875789940867
gharath,Hindu,0.9984048681988938,0.9984048681988938,0.0001028104072005,0.001007111994901,0.0003944184807835,2.6728135132407275e-06,8.811810470746478e-05,Hindu,0.998713548882571
gharida,Hindu,0.9951841245263384,0.9951841245263384,0.0039314505246534,0.0005451061543903,0.0003099711630653,2.9185441009224227e-06,2.642908745139596e-05,Hindu,0.9928714191204333
ghasi,Hindu,0.6629057605095048,0.6629057605095048,0.0868390595046556,0.1115693914652312,0.1386835255347862,8.194563869741439e-07,1.443529434880416e-06,Hindu,0.6585428918111653
ghasiram,Hindu,0.8042406031913025,0.8042406031913025,0.0765254795675995,0.0097300470831777,0.1089175367828387,1.3150458802411567e-05,0.0005731829162791,Hindu,0.769533400278194
ghodake,Hindu,0.96596890786778,0.96596890786778,0.0063748303969289,0.002472718510939,0.0251101971492822,1.5359179939268008e-05,5.798689513065957e-05,Hindu,0.9631350372921769
ghodoi,Hindu,0.9813823924981072,0.9813823924981072,0.0091622674568873,0.0053567846493279,0.0040056852532469,9.41515166495196e-06,8.345499076564089e-05,Hindu,0.9778250893870277
gholap,Hindu,0.9872508558509444,0.9872508558509444,0.0106339906302166,0.0004264858466109,0.0016708739823819,1.369468510915842e-05,4.099004736938512e-06,Hindu,0.9806751606778558
ghoodake,Hindu,0.9585960970294086,0.9585960970294086,0.0125821251420815,0.0047485869228571,0.023995160988325,1.3780255936991396e-05,6.424966139073039e-05,Hindu,0.9528957892388581
ghoolap,Hindu,0.9825947583533824,0.9825947583533824,0.0143772218071329,0.0005935561264863,0.0024224729121695,8.969068228492585e-06,3.021732600153956e-06,Hindu,0.9737807114437159
ghoorapade,Hindu,0.9935041623734876,0.9935041623734876,0.0011407110147462,0.0006181761462606,0.0046758909245363,1.826026877049747e-05,4.279927219864972e-05,Hindu,0.9930283747578107
ghorai,Hindu,0.994855313728822,0.994855313728822,0.0019505451778676,0.0002744556073696,0.0029139992740299,9.770177031391837e-07,4.709194207649083e-06,Hindu,0.9937324181489756
ghorpade,Hindu,0.995396051540912,0.995396051540912,0.0005157800811809,0.0008432960160433,0.0030467529663156,8.136713996908997e-05,0.0001167522555789,Hindu,0.9953294357583164
ghorui,Hindu,0.9807879599227788,0.9807879599227788,0.0043645155336288,0.0015921292323511,0.01324024760451,6.384715143253679e-07,1.4509235216971668e-05,Hindu,0.9787711059178624
ghosh,Hindu,0.9980234927467077,0.9980234927467077,0.0001133772684896,0.0005579752789784,0.0013042611571432,3.764934193514242e-07,5.170552615375315e-07,Hindu,0.9982014046359383
ghoshal,Hindu,0.997791231610608,0.997791231610608,0.0004910912055538,0.0004637192559295,0.0012520248894883,8.653828387397438e-07,1.067655581514073e-06,Hindu,0.9976826894065103
ghuge,Hindu,0.973263110390132,0.973263110390132,0.0029607662557369,0.0072030703360119,0.0165314289518085,1.9280497732932666e-06,3.969601653744055e-05,Hindu,0.9745346513474753
ghule,Hindu,0.9837211755634536,0.9837211755634536,0.007347091675113,0.0045462588030723,0.0043056108750432,3.1791144447388254e-06,7.668396887336638e-05,Hindu,0.9809683502371825
giaan,Christian,0.6649856150864726,0.3273512399702237,0.0066548059062154,0.0009232930496834,0.6649856150864726,1.3585983381425745e-05,7.146000402354996e-05,Christian,0.6609381323334298
giraase,Christian,0.9144855600792258,0.0816373195195023,0.0035212959352978,0.0003158721464494,0.9144855600792258,1.5397863855833591e-06,3.841253313893194e-05,Christian,0.9119945696443658
giradhaaree,Hindu,0.9452591621070464,0.9452591621070464,0.0056142972092605,0.0011492033541606,0.0477508388508011,1.5042049529895928e-05,0.0002114564292013,Hindu,0.9424316237898336
girajaa,Hindu,0.783078673304429,0.783078673304429,0.0948443935840098,0.0019496935985264,0.1198454091807969,1.0574801540216789e-05,0.0002712555306974,Hindu,0.7386953661546773
girase,Christian,0.6598275125850259,0.3238289391377585,0.0153364798713118,0.000944465356552,0.6598275125850259,2.251205327356082e-06,6.0351844024316426e-05,Christian,0.6521335412843474
girdhari,Hindu,0.9992093589286138,0.9992093589286138,0.0004372532353423,0.0001250910397729,0.0002181551832131,9.40448016312526e-07,9.20116504136252e-06,Hindu,0.998974939141386
giree,Hindu,0.826519257964732,0.826519257964732,0.1285730439674045,0.0021964763368326,0.0426458212899869,6.201004927195113e-06,5.919943611662218e-05,Hindu,0.7637628710401604
girees,Hindu,0.6599014700837064,0.6599014700837064,0.1167882770457871,0.0022065699297296,0.221026744863297,1.4971180412726208e-05,6.196689706701085e-05,Hindu,0.6147755176334428
giri,Hindu,0.966687011941757,0.966687011941757,0.0121463523404181,0.000193170705779,0.0209635263743124,1.554475116986612e-06,8.384162616533447e-06,Hindu,0.9593344837287215
girija,Hindu,0.9793272825901266,0.9793272825901266,0.0168368449408376,7.716933430305474e-05,0.0037484495723234,1.3003553701699842e-06,8.953207039000008e-06,Hindu,0.9688015532169794
girijaa,Hindu,0.9346020762401508,0.9346020762401508,0.034832740153783,0.0002090506967441,0.0303286229222268,3.4658925565622078e-06,2.404409453845279e-05,Hindu,0.9141993379321384
girish,Hindu,0.9604830697433356,0.9604830697433356,0.0152339237973832,0.0004362379599857,0.0238355240714414,1.897608054501773e-06,9.346819799237762e-06,Hindu,0.9514045757170483
girraaj,Christian,0.5808528580505354,0.3674249781252486,0.0449255149161392,0.0061914516002647,0.5808528580505354,4.652865995944444e-05,0.0005586686478526,Christian,0.5641052186867705
girraj,Hindu,0.7651523280208519,0.7651523280208519,0.0512578648405503,0.0056956178586619,0.1774939043681055,5.781536031231688e-05,0.0003424695515178,Hindu,0.7429401673601943
gita,Hindu,0.9894529452592116,0.9894529452592116,0.0055027407663514,0.0023118758856089,0.0021650507575442,5.7770091623309855e-05,0.0005096172396602,Hindu,0.9865441519799577
gite,Hindu,0.9329176342754136,0.9329176342754136,0.0127579454037696,0.0047469442245987,0.0483431426234856,5.83993514123161e-05,0.0011759341213201,Hindu,0.9266206457413352
githaa,Hindu,0.4956977673988471,0.4956977673988471,0.0492706588163111,0.0187878864860251,0.4358545004000938,2.2357982419508472e-05,0.0003668289163032,Hindu,0.4853806788904627
githe,Hindu,0.6073471346716255,0.6073471346716255,0.0700451827536191,0.0865781318814161,0.2356366224313467,1.8484958313861e-05,0.0003744433036785,Hindu,0.6035189671803075
gochhayta,Hindu,0.9743242074031278,0.9743242074031278,0.0060671781240357,0.0067506135874647,0.0127613047819999,1.3658801322935024e-05,8.303730204893054e-05,Hindu,0.9733819529914374
god,Hindu,0.9974825246923062,0.9974825246923062,0.0006293106158718,8.460010747223318e-05,0.0001589541639866,0.0004778321350914,0.0011667782852715,Hindu,0.9960486705077417
godse,Hindu,0.8347515085860588,0.8347515085860588,0.0341886003020896,0.0026000720982668,0.1280376557819673,0.0001006813339467,0.0003214818976707,Hindu,0.8179829221155052
goel,Hindu,0.8664871032130566,0.8664871032130566,0.0170339186018677,0.0010732587514797,0.1152654319647568,2.416851337970008e-05,0.0001161189554592,Hindu,0.8579570717812672
gokal,Hindu,0.9842289953698732,0.9842289953698732,0.0114203506180665,0.0003850189834821,0.0030207322495293,3.0865621458836645e-05,0.00091403715759,Hindu,0.9765002794730666
gokul,Hindu,0.9907307525524168,0.9907307525524168,0.005638144270246,0.0005722802554414,0.0026499752510793,1.375546593038464e-05,0.0003950922048856,Hindu,0.9870882019417988
gole,Hindu,0.8863932883929929,0.8863932883929929,0.076913095190169,0.0001900111815377,0.0362716425775563,1.4740026094442445e-05,0.0002172226316493,Hindu,0.8444112468824467
golla,Hindu,0.5816972959154191,0.5816972959154191,0.3846920737203866,0.0002529058874986,0.0333357293029266,1.0865863629194932e-05,1.1129310139679674e-05,Muslim,0.5076367856405862
gond,Hindu,0.9521649407384254,0.9521649407384254,0.0031152559236354,0.0004858890847418,0.0425554256876053,0.000745823436774,0.0009326651288177,Hindu,0.9497518689909797
goobinda,Hindu,0.9946384956125308,0.9946384956125308,0.0030447126212274,0.0014819269187925,0.0007972211083165,1.354406098798491e-05,2.4099678144631532e-05,Hindu,0.9933032817115014
goodaavaree,Hindu,0.6814171727865778,0.6814171727865778,0.0089553875339114,0.0007637992469816,0.3084460950569548,0.0002974584785542,0.0001200868970199,Hindu,0.678882036223116
goodase,Hindu,0.8943781304457397,0.8943781304457397,0.0078941231826503,0.0021942508591027,0.0953830349605747,1.0802158693261818e-05,0.000139658393239,Hindu,0.8911124539817918
gooheel,Hindu,0.7331031613944405,0.7331031613944405,0.095683245224966,0.0054596751946166,0.1657165651775622,3.108704814629317e-06,3.424430359989536e-05,Hindu,0.6925073996644276
goohel,Hindu,0.799099638374602,0.799099638374602,0.0280474679775122,0.0028237385977862,0.1699852848296333,9.19377989291916e-06,3.4676440573345904e-05,Hindu,0.7865899680164626
goohil,Hindu,0.8437672826393005,0.8437672826393005,0.0239769124316857,0.0067624032908697,0.1253701325628521,4.1371498156515925e-06,0.0001191319254762,Hindu,0.8338566145845521
gookul,Hindu,0.9572247447900613,0.9572247447900613,0.0310121083395953,0.0046165421989675,0.0065846862992331,2.257892267309356e-05,0.0005393394494697,Hindu,0.9398768168841856
goolaapa,Hindu,0.9184757365891704,0.9184757365891704,0.0250387374958849,0.0009263609785735,0.0552912851588753,0.0001782837993905,8.9595978104931e-05,Hindu,0.9043523560256356
goole,Hindu,0.8687500442927365,0.8687500442927365,0.0962517789469406,0.0010519245577999,0.0337574280151744,1.2999549822308646e-05,0.0001758246375259,Hindu,0.8181388320811372
goomathee,Christian,0.9541163854264024,0.0438193846632974,0.0015348439915631,0.0004751504580024,0.9541163854264024,2.877474287938678e-07,5.394771330565645e-05,Christian,0.9530445245978404
goopaal,Hindu,0.8849150188817898,0.8849150188817898,0.0451099259465997,0.0110905614616272,0.0582913283922893,0.0003012008276777,0.0002919644900161,Hindu,0.8638659679194494
goopee,Hindu,0.6717438340145163,0.6717438340145163,0.1646540329045729,0.0571159489951457,0.1058330757811551,2.0356024383943147e-05,0.0006327522802259,Hindu,0.6210790681115289
gooraa,Hindu,0.7536979863134757,0.7536979863134757,0.0666852681672461,0.0049315151995056,0.1742602887490021,6.584788890143998e-05,0.000359093681869,Hindu,0.7245220960812232
goorakh,Hindu,0.8846185926107887,0.8846185926107887,0.1099974815650929,0.0040346075020209,0.0012404173028194,1.946049929470637e-05,8.944051998312075e-05,Hindu,0.8270470378793746
goore,Hindu,0.8900896238063618,0.8900896238063618,0.0732575779323343,0.0022104001707536,0.034334912497454,2.056311745220124e-05,8.69224756440134e-05,Hindu,0.8506363471310239
gooree,Hindu,0.7161418054073522,0.7161418054073522,0.2128987526918022,0.0055546087265396,0.0653109158639806,1.1011769069735374e-05,8.290554125564009e-05,Hindu,0.6308278193449501
goorelaal,Hindu,0.7552551218882623,0.7552551218882623,0.0592719328531117,0.0012889775291084,0.1841053500447454,4.365790037968847e-05,3.49597843923468e-05,Hindu,0.7284890550237075
goosaavee,Christian,0.8020038340009635,0.1644309312516265,0.0139130287613635,0.0195776169287183,0.8020038340009635,2.7188875037771528e-05,4.740018229013737e-05,Christian,0.8005906915305371
goosvaamee,Christian,0.6142016169115818,0.2146607320179161,0.1614428010806156,0.0079105408814052,0.6142016169115818,3.966864131164603e-05,0.0017446404671695,Christian,0.5555226165574203
gootham,Hindu,0.8372960617680244,0.8372960617680244,0.0604350193600439,0.0272538501605032,0.0743969440724769,2.836726128273482e-05,0.0005897573776688,Hindu,0.8150905277110354
goovardhan,Hindu,0.9763714810890354,0.9763714810890354,0.0007748869049771,0.0014071683980807,0.0192313154018952,0.0001104725449921,0.0021046756610193,Hindu,0.9750160103367395
goovimd,Hindu,0.8156650320567742,0.8156650320567742,0.1348261160552683,0.0055459235308027,0.0414217723247822,9.42456563281286e-05,0.0024469103760445,Hindu,0.7506635571300875
goovind,Hindu,0.9699273612449976,0.9699273612449976,0.0003046542046794,0.0023970894200184,0.026637747610173,0.0003115797786699,0.0004215677414613,Hindu,0.9704867012967654
gop,Hindu,0.9717021607024388,0.9717021607024388,0.0002171389133695,0.0020776771856582,0.0225099518274278,0.0006156976821084,0.002877373688997,Hindu,0.9702472536305364
gopa,Hindu,0.978428244433487,0.978428244433487,0.0001544929923795,0.0008572744167641,0.0079290626749913,0.0101704273958981,0.0024604980864797,Hindu,0.9729363145966798
gopal,Hindu,0.9538816476072244,0.9538816476072244,0.0002055991393902,0.002153951254441,0.0039491460795884,0.0384379807564277,0.0013716751629279,Hindu,0.9390665693299677
gopalakrishnan,Hindu,0.998401259369257,0.998401259369257,0.0002694434797892,0.0003003662046232,0.0009553312021178,6.021866149042722e-05,1.3381082722138404e-05,Hindu,0.9983296534755821
gopalan,Hindu,0.9987545069797524,0.9987545069797524,5.2153925428878725e-05,0.0001504298313506,0.0002176973910799,0.000244228675581,0.0005809831968071,Hindu,0.9982536018378333
gopeelal,Hindu,0.9149033307154288,0.9149033307154288,0.0094566073184656,0.0008243528790887,0.0747443439323176,3.526669035116408e-05,3.6098464348091695e-05,Hindu,0.9100443443684
gopi,Hindu,0.6282279315206554,0.6282279315206554,0.0014451105699208,0.0052670547613886,0.364293973452484,6.635835775082262e-05,0.0006995713378002,Hindu,0.6301911769477068
gopinath,Hindu,0.994287214807916,0.994287214807916,0.0005691186469814,0.0014506438968301,0.0035503698908608,2.25473416392653e-05,0.0001201054157722,Hindu,0.9944748008928987
goradhan,Hindu,0.990343916883567,0.990343916883567,0.0011310907822977,0.0003976317689821,0.0075995279543644,4.376402125831112e-05,0.0004840685895303,Hindu,0.9894608401154251
gorai,Hindu,0.9933473840322172,0.9933473840322172,0.0028158890192585,0.0001095381517677,0.0036806413161282,7.440885173332843e-06,3.9106595454627e-05,Hindu,0.9915757501664677
gore,Hindu,0.9754832833266152,0.9754832833266152,0.0015739347393669,4.953492694569388e-05,0.0228512116265754,8.78059242188219e-06,3.3254788074812965e-05,Hindu,0.9746228021415207
gorelal,Hindu,0.9627992520553502,0.9627992520553502,0.0123214760052204,0.0003139501310798,0.0245086785143288,4.058231527009185e-05,1.6060978750555933e-05,Hindu,0.9554195015744974
gosavi,Christian,0.6062460043897338,0.3728506810213946,0.0146567493993477,0.0050403871398901,0.6062460043897338,0.0002701028517449,0.0009360751978888,Christian,0.5998496277589715
goswami,Hindu,0.7389590744986066,0.7389590744986066,0.004120449882033,0.0035093998225221,0.2473442417469879,1.1492127942636452e-05,0.0060553419219078,Hindu,0.7359236434151685
