name,clf_predicted_religion,clf_max_prob,prob_Hindu,prob_Muslim,prob_Sikh,prob_Christian,prob_Jain,prob_Buddhist
rekhaa,Muslim,0.6342521658711845,0.309529681434896,0.6342521658711845,0.0032819067584041084,0.04587014583566831,0.005163261497186919,0.0019028386026603463
rekhaabaaee,Muslim,0.8136486456337627,0.11984424463836925,0.8136486456337627,0.0024410824671971328,0.0629619682131284,0.0002863836818667919,0.0008176753656758283
remya,Hindu,0.9711164185122311,0.9711164185122311,0.006323387734593527,0.001423845124345151,0.021113258146998888,1.5705413650093483e-05,7.385068181200805e-06
rengasamy,Hindu,0.9960905331340622,0.9960905331340622,0.00038472483978420547,7.265652580677674e-05,0.00344945678752015,3.173756588763088e-07,2.311337167897754e-06
renoo,Hindu,0.6561742834291528,0.6561742834291528,0.1191879657476527,0.009060108516056816,0.21535896938618432,3.839558033908013e-05,0.00018027734061425868
renu,Hindu,0.829918279522268,0.829918279522268,0.003485035262263911,0.00018087661532014646,0.16639711967135115,1.0378723343109271e-05,8.310205453609902e-06
renuka,Hindu,0.9566635917447893,0.9566635917447893,0.008882228643196027,0.0004200872891701132,0.03387507946189854,2.2097693891833788e-05,0.00013691516705387034
renukaa,Hindu,0.8450379137132167,0.8450379137132167,0.013868656187200939,0.000612283447169901,0.14021256078245484,3.265089620753527e-05,0.00023593497374993383
resam,Hindu,0.7617579178853982,0.7617579178853982,0.0492051390602953,0.00046285545380937346,0.18815639331226766,0.000341163708313582,7.653057991587659e-05
resamaa,Christian,0.7961976955694324,0.17899091148582114,0.0237022183299518,0.00023135906293376976,0.7961976955694324,0.0008239833908825176,5.383216097837337e-05
resamee,Muslim,0.671677074421467,0.2422580965717557,0.671677074421467,0.000417850784282039,0.08531702121443581,6.475631092323009e-05,0.00026520069713611695
reshma,Hindu,0.8739179692176333,0.8739179692176333,0.09452442078378354,0.0008069820974853355,0.030111967460944578,0.0005709965088181941,6.766393133502545e-05
reva,Hindu,0.9284491247681275,0.9284491247681275,0.00010820374702396024,2.814273123643758e-05,0.07137314706183712,1.6584684533202677e-05,2.4797007241845852e-05
