name,type,gender,religion,region,n,hand,clf,score
jacob,last,,Christian,East,968.0,1,0.9991496919207316,0.9997449075762195
abraham,last,,Christian,East,602.0,1,0.9972659364815554,0.9991797809444667
samuel,last,,Christian,East,1886.0,1,0.9949875191414016,0.9984962557424204
skariah,last,,Christian,East,4.0,1,0.9949134816439988,0.9984740444931997
daniel,last,,Christian,East,1652.0,1,0.9939652725927692,0.9981895817778308
stephen,last,,Christian,East,473.0,1,0.9919578550946684,0.9975873565284006
eapen,last,,Christian,East,4.0,1,0.9918584312693328,0.9975575293807999
yohannan,last,,Christian,East,7.0,1,0.9912626803819932,0.9973788041145979
antony,last,,Christian,East,79.0,1,0.9886614455985044,0.9965984336795513
john,last,,Christian,East,2827.0,1,0.988333216932041,0.9964999650796122
cherian,last,,Christian,East,34.0,1,0.9801024196431534,0.9940307258929459
koshy,last,,Christian,East,5.0,1,0.97737776433884,0.9932133293016521
costa,last,,Christian,East,93.0,1,0.9617960308155548,0.9885388092446664
mascarenhas,last,,Christian,East,2.0,1,0.9566253966458144,0.9869876189937443
joseph,last,,Christian,South,351185.0,1,0.999999973582924,0.9999999920748772
thomas,last,,Christian,South,289665.0,1,0.9999996556702168,0.999999896701065
jose,last,,Christian,South,117953.0,1,0.999998785395809,0.9999996356187427
mathew,last,,Christian,South,167653.0,1,0.9999609716634612,0.9999882914990383
chacko,last,,Christian,South,80678.0,1,0.9999395978614114,0.9999818793584234
george,last,,Christian,South,173138.0,1,0.999925027658548,0.9999775082975644
varghese,last,,Christian,South,183824.0,1,0.9998283895969436,0.9999485168790831
kuriakose,last,,Christian,South,25147.0,1,0.9997884286977172,0.9999365286093151
kurian,last,,Christian,South,35773.0,1,0.9997124772892576,0.9999137431867773
philip,last,,Christian,South,26583.0,1,0.9996487074364708,0.9998946122309412
mathews,last,,Christian,South,5772.0,1,0.9992583223012816,0.9997774966903845
jacob,last,,Christian,South,56643.0,1,0.9991496919207316,0.9997449075762195
abraham,last,,Christian,South,81706.0,1,0.9972659364815554,0.9991797809444667
samuel,last,,Christian,South,45252.0,1,0.9949875191414016,0.9984962557424204
skariah,last,,Christian,South,876.0,1,0.9949134816439988,0.9984740444931997
daniel,last,,Christian,South,22117.0,1,0.9939652725927692,0.9981895817778308
